problem,difficulty
lsn23_paint,0
a1_4_goldilocks,0
a1_4_satellite,0
a1_4_vspeed,0
a3_2_bands,0
a1_5_sound,0
lsn21_stamp,0
lsn21_triangle,0
a1_6_paint,0
lsn22_bouncingball,0
lsn22_bouncingballs,0
a1_7_pilot_quals,0
lsn23_soundboard,0
lsn22_bouncingtriangle,0
a1_2_lessons,0
a3_2_dogs,0
lsn13_skill1,0
lsn21_randomcircles,0.000579958
lsn21_skill1,0.002064253
lsn18_skill1,0.002210028
lsn22_skill1,0.003615147
a3_4_weights,0.004397948
a1_4_speed,0.006593566
a1_4_cards,0.007731889
lsn8_fuel,0.009935543
a3_4_heights,0.010370386
lsn26_plots,0.010441965
a1_4_arrow,0.01146266
a3_4_ptscores,0.011508127
lsn6_bit_representation,0.011687418
lsn8_speeding,0.012418163
lsn11_skill3,0.014695799
lsn6_bits_to_bytes,0.015134294
lsn7_skill1,0.015602156
lsn5_scoreaverage,0.015612888
lsn5_pointspread,0.017625708
lsn8_skill2,0.018568359
a3_4_ages,0.01948548
lsn9_practice1,0.019494843
lsn14_skill1,0.019923
a3_4_run,0.020926633
lsn8_skill1,0.021827694
lsn7_atmosphere,0.02616551
lsn7_skill2,0.027466883
lsn7_positive,0.027700335
a1_1_cadet,0.028642021
a4_2_dog,0.028675043
lsn7_classyear,0.028785021
a1_3_radius,0.029738953
lsn11_triangle,0.029761547
lsn6_skill1,0.029934966
a2_2_speed,0.030368495
lsn23_skill1,0.033251586
lsn33_practice5,0.035539043
a4_2_sickness,0.039629411
a3_3_ships,0.042280319
a2_2_stride,0.042714013
lsn1_helloworld,0.043800696
lsn6_bits_to_kmg,0.043830321
a1_1_dorms,0.044805457
a2_1_equation,0.045637494
a3_2_grammys,0.046962615
a3_3_animals,0.047469716
lsn19_skill1,0.047473817
lsn6_skill2,0.048345843
lsn5_skill1,0.049864868
a2_2_unladen,0.050016574
a4_1_buoyancy,0.050967884
a1_1_icbm,0.051903203
a2_1_calculate_volume,0.052982742
lsn15_skill2,0.053874543
a4_1_area,0.057143895
a1_1_bases,0.058351196
a3_3_pizza,0.059422618
a2_1_future_value,0.059579062
a1_3_circles,0.060176252
a2_2_hp,0.063041827
lsn11_skill2,0.064352982
a3_2_cars,0.064874719
a2_1_surface,0.065237323
lsn12_skill1,0.06611419
a4_2_pt,0.06623976
a3_2_cities,0.067399886
lsn25_midpoint,0.068713704
a3_2_departments,0.068876199
a1_1_squad,0.069890769
lsn25_skill1,0.070353727
a1_3_spheres,0.070977298
lsn8_uod,0.07259436
a1_1_aircraft,0.072831881
a3_2_jets,0.075589938
lsn14_counting,0.077212722
a4_3_aircraft,0.079120109
a4_4_squadrons,0.0826989
a4_3_parks,0.089954407
a3_3_games,0.090672624
lsn6_calories,0.09085173
a1_6_fueldepot,0.090912635
a4_3_new_cars,0.092016829
lsn19_skill2,0.092862541
a3_3_aircraft,0.093614657
a2_1_calculate,0.094204164
lsn9_practice3,0.096663219
a1_6_runway,0.101648569
lsn5_skill2,0.102406045
lsn12_distance,0.103033127
lsn21_simpledrawing,0.10310422
lsn14_timestable,0.103627335
lsn12_skill2,0.107192013
a4_4_year,0.107672661
lsn7_largest,0.10809808
a3_6_flighttest,0.108734256
lsn6_temperature,0.108785928
lsn16_practice1,0.110175495
a4_4_names,0.113719281
lsn33_practice6,0.114722684
a4_1_lift,0.11699682
lsn18_skill2,0.117375698
a2_4_slash,0.118007363
a1_3_interest,0.121166047
a3_6_sami,0.122039483
a3_6_missiletest,0.122680698
a3_5_map,0.123058617
lsn5_madlib,0.12492248
a2_4_semic,0.125255236
lsn11_skill1,0.128254964
a3_6_pushups,0.129180546
lsn33_practice3,0.129201189
lsn11_imagesize,0.133074692
a3_6_tests,0.133563667
a3_5_chess,0.134060525
a2_6_traffic_lights,0.139740443
lsn12_circle,0.14146601
lsn11_callme,0.141851426
a3_5_battleship,0.142833151
a2_6_grades,0.144282853
lsn25_skill2,0.144592668
a1_7_digitalstorage,0.145114056
a1_6_printer,0.145661335
a1_3_cones,0.146595405
lsn33_practice7,0.146926565
a2_6_network_traffic,0.151989971
lsn13_skill2,0.152328497
lsn14_skill2,0.152746609
lsn13_waittimes,0.15752137
lsn19_population,0.163026635
a2_4_colon,0.166152651
a1_7_broadband,0.167480116
a4_7_fit_u,0.167588974
a3_5_carnival,0.168220348
a1_7_missilethreat,0.168317796
a1_7_payload,0.1706231
lsn33_practice4,0.170712339
a4_5_password,0.17093194
lsn19_movies,0.171165496
lsn8_roundtrip,0.171556412
a3_5_star_map,0.171611452
lsn9_practice4,0.171847407
lsn4_printpractice,0.171872243
lsn5_arrivaltime,0.172256284
lsn15_skill1,0.174662863
lsn25_crashanalysis,0.180070625
a2_3_twenty_one,0.183498824
lsn14_class2017,0.183858005
a1_7_evacuation,0.187454816
a4_5_areacode,0.187775587
a4_5_translate,0.189265732
lsn20_averagetraffic,0.191634094
a1_6_scuba,0.196576415
a2_6_virus,0.199696194
a2_6_gameday,0.200901274
a1_6_woodshop,0.205540331
lsn14_football,0.206115407
a2_2_bmi,0.208972406
a2_4_comma,0.210659121
lsn25_rectangle,0.21134768
lsn4_parking,0.214341521
a2_3_countdown,0.215484977
a4_7_fit_e,0.216004263
lsn12_asteroids,0.216350478
lsn25_tokens,0.217936811
lsn13_count,0.219385332
lsn4_ascii,0.219517066
lsn20_skill1,0.220875184
lsn12_in_circle,0.220962939
lsn25_contactlist,0.223879177
a2_3_19,0.231981288
lsn9_practice2,0.242607998
lsn8_lists,0.245707677
lsn14_coordinates,0.247858576
a2_6_combat,0.249645701
lsn18_grades,0.262399073
lsn19_credit,0.262780186
lsn25_crashes,0.263645228
lsn26_percentile,0.263926859
lsn33_practice1,0.26437976
a3_7_min_lego,0.264539255
a2_3_fourty_two,0.266476493
a4_6_flighthours,0.271291385
a3_7_max_lego,0.274953589
a3_1_countries,0.277678384
lsn26_calculus,0.280413204
a2_3_seventeen,0.282077889
lsn13_countby10s,0.284772038
a4_6_aft,0.286361247
a3_1_afbs,0.286751509
a2_4_dash,0.287556218
lsn5_girlscouts,0.29254583
lsn13_squadrons,0.294696622
lsn16_practice3,0.296450211
a3_1_commands,0.301495994
a4_6_scores,0.305483698
a2_7_fastest,0.311134248
a3_7_minpower,0.3122891
a3_7_maxpower,0.314502813
lsn13_averagerun,0.316608698
a2_7_highest_hp,0.320072043
lsn24_airspeed,0.321388927
lsn24_mitches,0.326049723
lsn18_combinations,0.331374842
a3_1_cargo,0.333405917
lsn20_sat,0.340102138
a3_1_medals,0.345880641
a2_7_attack,0.346849469
lsn13_cargocapacity,0.35601779
a3_7_max,0.360003522
lsn20_unpopularnames,0.362527045
lsn6_projectile,0.367814104
lsn20_lowvolume,0.370707178
lsn33_practice8,0.379724048
lsn14_printchars,0.389897511
lsn16_practice2,0.40763216
a2_7_lowest_defense,0.420823501
a2_7_lowest_spec_attack,0.425211115
lsn18_names,0.433341053
lsn33_practice2,0.434953728
lsn18_namesreverse,0.453307664
lsn18_swimstats,0.459387425
lsn16_practice4,0.460877866
lsn19_golf,0.486915013
lsn13_dvc,0.493139688
lsn6_math,0.525386837
lsn15_echo,0.528138385
caesar_gc,0.54262979
lsn20_popularnames,0.573102554
lsn15_titanicsurvivor,0.584515603
lsn15_runways,0.613383476
caesar,0.646756661
lsn19_100m,0.647130832
lsn24_education,0.659379222
lsn15_titanicfares,0.672692629
lsn15_survivors_by_gender,0.72533048
lsn24_nasa,0.742960645
