0012-1,Space Mini-Figures,1979,Space,21
0013-1,Space Mini-Figures,1979,Space,33
0014-1,Space Mini-Figures,1979,Space,32
0015-1,Space Mini-Figures,1979,Space,28
0016-1,Extra Large Tires & Hubs,1982,Technic,31
10018-1,Darth Maul,2001,Star Wars,1868
10023-1,Master Builder Set,2002,Bionicle,112
10042-1,American Flag,2003,Seasonal,35
10068-1,Santa Claus,2002,Seasonal,39
10069-1,Christmas Tree,2002,Seasonal,33
10070-1,Reindeer,2002,Seasonal,26
10071-1,Mr. Bunny,2003,Seasonal,25
10079-1,Snowman,2003,Seasonal,42
10080-1,Angel,2003,Seasonal,33
10090-1,Turkey,2003,Seasonal,54
10106-1,Snowflake,2006,Seasonal,107
10123-1,Cloud City,2003,Star Wars,707
10131-1,TIE Fighter Collection,2004,Star Wars,688
10144-1,Sandcrawler,2005,Star Wars,1679
10159-1,City Airport -City Logo Box,2004,City,639
10165-1,Elf Boy,2004,Seasonal,27
10166-1,Elf Girl,2004,Seasonal,31
10168-1,Mrs. Bunny,2005,Seasonal,64
10169-1,Chicken & Chicks,2005,Seasonal,60
10178-1,Motorized Walking AT-AT,2007,Star Wars,1137
10184-1,Town Plan,2008,Town,497
10195-1,Republic Dropship with AT-OT,2009,Star Wars,1757
10198-1,Tantive IV,2009,Star Wars,1408
10199-1,Winter Toy Shop,2009,Seasonal,815
10201-1,Takutanuva,2003,Bionicle,7
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,Bionicle,8
10202-2,Ultimate Dume,2004,Bionicle,7
10203-1,Voporak,2005,Bionicle,8
10204-1,Vezon & Kardas,2006,Bionicle,8
10216-1,Winter Village Bakery,2010,Seasonal,686
10222-1,Winter Village Post Office,2011,Seasonal,821
10229-1,Winter Village Cottage,2012,Seasonal,1013
10235-1,Winter Village Market [Initial Release],2013,Seasonal,923
10236-1,Ewok Village,2013,Star Wars,1934
10241-1,Maersk Line Triple-E,2014,Model,823
10245-1,Santa's Workshop,2014,Seasonal,882
10249-1,Winter Toy Shop,2015,Seasonal,895
10253-1,Big Ben,2016,Model,839
10254-1,Winter Holiday Train,2016,Seasonal,737
1030-1,TECHNIC I: Simple Machines Set,1985,Technic,189
1031-1,Building Cards - 1030,1983,Educational,20
1032-1,TECHNIC II Set {4.5v},1985,Technic,278
1033-1,Building Cards - 1032,1985,Educational,20
1034-1,Teachers Resource Set,1985,Educational,1007
1038-1,ERBIE the Robo-Car,1985,Technic,120
1039-1,Manual Control Set 1,1986,Technic,39
1045-2,Educational LEGO Building Set,1976,Educational,683
1049-1,Ships - 247 elements and 1 poster,1985,Educational,238
10500-1,Horse Stable,2013,Duplo,44
10501-1,Zoo friends,2013,Duplo,5
10504-1,My First Circus,2013,Duplo,62
10505-1,Play House,2013,Duplo,83
10506-1,Train Accessory Set,2013,Duplo,24
10507-1,My First Train Set,2013,Duplo,52
10508-1,Deluxe Train Set,2013,Duplo,134
10509-1,Dusty and Chug,2013,Duplo,16
10510-1,Ripslinger's Air Race,2013,Duplo,40
10511-1,Skipper's Flight School,2013,Duplo,49
10512-1,Jake's Treasure Hunt,2013,Duplo,22
10513-1,Never Land Hideout,2013,Duplo,37
10514-1,Jake's Pirate Ship Bucky,2013,Duplo,56
10515-1,Ariel's Undersea Castle,2013,Duplo,39
10516-1,Ariel's Magical Boat Ride,2012,Duplo,29
10517-1,My First Garden,2013,Duplo,37
10518-1,My First Construction Site,2013,Duplo,47
10520-1,Big Front Loader,2013,Duplo,12
10521-1,Baby Calf,2014,Duplo,9
10522-1,Farm Animals,2014,Duplo,12
10524-1,Farm Tractor,2014,Duplo,29
10525-1,Big Farm,2014,Duplo,121
10526-1,Peter Pan's Visit,2014,Duplo,39
