,problem,difficulty
2,lsn23_paint,0.0
4,a1_4_goldilocks,0.0
6,a1_4_satellite,0.0
7,a1_4_vspeed,0.0
9,a3_2_bands,0.0
10,a1_5_sound,0.0
11,lsn21_stamp,0.0
13,lsn21_triangle,0.0
14,a1_6_paint,0.0
15,lsn22_bouncingball,0.0
16,lsn22_bouncingballs,0.0
17,a1_7_pilot_quals,0.0
18,lsn23_soundboard,0.0
19,lsn22_bouncingtriangle,0.0
20,a1_2_lessons,0.0
21,a3_2_dogs,0.0
25,lsn13_skill1,0.0
31,lsn21_randomcircles,0.000579958
34,lsn21_skill1,0.002064253
35,lsn18_skill1,0.002210028
40,lsn22_skill1,0.003615147
43,a3_4_weights,0.004397948
46,a1_4_speed,0.006593566
47,a1_4_cards,0.007731889
50,lsn8_fuel,0.009935543
53,a3_4_heights,0.010370386
54,lsn26_plots,0.010441965
55,a1_4_arrow,0.01146266
56,a3_4_ptscores,0.011508127
57,lsn6_bit_representation,0.011687418
59,lsn8_speeding,0.012418163
60,lsn11_skill3,0.014695799
61,lsn6_bits_to_bytes,0.015134294
62,lsn7_skill1,0.015602156
63,lsn5_scoreaverage,0.015612888
65,lsn5_pointspread,0.017625708
67,lsn8_skill2,0.018568359
69,a3_4_ages,0.01948548
70,lsn9_practice1,0.019494843
72,lsn14_skill1,0.019923
73,a3_4_run,0.020926633
74,lsn8_skill1,0.021827694
76,lsn7_atmosphere,0.02616551
78,lsn7_skill2,0.027466883
80,lsn7_positive,0.027700335
83,a1_1_cadet,0.028642021
84,a4_2_dog,0.028675043
85,lsn7_classyear,0.028785021
88,a1_3_radius,0.029738953
89,lsn11_triangle,0.029761547
90,lsn6_skill1,0.029934966
91,a2_2_speed,0.030368495
93,lsn23_skill1,0.033251586
95,lsn33_practice5,0.035539043
98,a4_2_sickness,0.039629411
100,a3_3_ships,0.042280319
101,a2_2_stride,0.042714013
102,lsn1_helloworld,0.043800696
103,lsn6_bits_to_kmg,0.043830321
105,a1_1_dorms,0.044805457
106,a2_1_equation,0.045637494
107,a3_2_grammys,0.046962615
109,a3_3_animals,0.047469716
110,lsn19_skill1,0.047473817
111,lsn6_skill2,0.048345843
112,lsn5_skill1,0.049864868
113,a2_2_unladen,0.050016574
114,a4_1_buoyancy,0.050967884
115,a1_1_icbm,0.051903203
116,a2_1_calculate_volume,0.052982742
117,lsn15_skill2,0.053874543
118,a4_1_area,0.057143895
120,a1_1_bases,0.058351196
121,a3_3_pizza,0.059422618
122,a2_1_future_value,0.059579062
123,a1_3_circles,0.060176252
124,a2_2_hp,0.063041827
125,lsn11_skill2,0.064352982
126,a3_2_cars,0.064874719
127,a2_1_surface,0.065237323
128,lsn12_skill1,0.06611419
129,a4_2_pt,0.06623976
130,a3_2_cities,0.067399886
132,lsn25_midpoint,0.068713704
133,a3_2_departments,0.068876199
135,a1_1_squad,0.069890769
136,lsn25_skill1,0.070353727
138,a1_3_spheres,0.070977298
139,lsn8_uod,0.07259436
140,a1_1_aircraft,0.072831881
148,a3_2_jets,0.075589938
150,lsn14_counting,0.077212722
151,a4_3_aircraft,0.079120109
152,a4_4_squadrons,0.0826989
157,a4_3_parks,0.089954407
160,a3_3_games,0.090672624
161,lsn6_calories,0.09085173
162,a1_6_fueldepot,0.090912635
163,a4_3_new_cars,0.092016829
165,lsn19_skill2,0.092862541
167,a3_3_aircraft,0.093614657
169,a2_1_calculate,0.094204164
171,lsn9_practice3,0.096663219
173,a1_6_runway,0.101648569
175,lsn5_skill2,0.102406045
177,lsn12_distance,0.103033127
179,lsn21_simpledrawing,0.10310422
180,lsn14_timestable,0.103627335
186,lsn12_skill2,0.107192013
188,a4_4_year,0.107672661
190,lsn7_largest,0.10809808
191,a3_6_flighttest,0.108734256
192,lsn6_temperature,0.108785928
194,lsn16_practice1,0.110175495
196,a4_4_names,0.113719281
199,lsn33_practice6,0.114722684
200,a4_1_lift,0.11699682
201,lsn18_skill2,0.117375698
203,a2_4_slash,0.118007363
206,a1_3_interest,0.121166047
208,a3_6_sami,0.122039483
209,a3_6_missiletest,0.122680698
210,a3_5_map,0.123058617
211,lsn5_madlib,0.12492248
212,a2_4_semic,0.125255236
213,lsn11_skill1,0.128254964
215,a3_6_pushups,0.129180546
216,lsn33_practice3,0.129201189
